Unnamed: 0,review_id,retailer,product_name,product_url,review_url,review_timestamp,review_rating,review_body,review_clean,Language,Lang Probability,str_length,key_phrases
0,31e5080c18ca20b78795d864f4e2375a,noon.com,50-Piece Disposable Cotton Earloop 3 Ply Face Mask,https://www.noon.com/uae-en/product/N44946228A/p,https://www.noon.com/uae-en/product/N44946228A/p,15-05-2021,5,Such a good price and quality item.,Such a good price and quality item.,en,0.999996907,35,good price quality
4,343569483985c47226e4dec7e8974649,amazon.ae,"infinitoo Essential Oils Diffuser, 300ml Ultrasonic Aroma Diffuser with 6 Bottles Aroma Oils Cool Mist Humidifier for Office, Room, Auto Shut-Off, 4 Modes Time Setting, 7 Color",https://www.amazon.ae/dp/B083NHF7GZ,https://www.amazon.ae/product-reviews/B083NHF7GZ?sortBy=recent&pageNumber=3,14-01-2021,5,"Was bought as a gift, they absolutely love it.","Was bought as a gift, they absolutely love it.",en,0.999998309,46,gift absolutely love
7,141c0c99072c5df7891f57f213a1e43f,noon.com,Super Collagen Type 1 And 3 Powder 198g,https://www.noon.com/uae-en/product/N18922847A/p,https://www.noon.com/uae-en/product/N18922847A/p,28-01-2021,5,I love it you can add it with tea coffe juice water,I love it you can add it with tea coffe juice water,en,0.999997873,51,add tea coffe
8,0d7df5c7516c7eac1d32a041f1356ff1,amazon.ae,"Diaper Bag Backpack, LEQUEEN Waterproof Stylish Multifunction Large Capacity Travel Back Pack Maternity Baby Nappy Changing Bags with USB Charging Port (Gray-Pink)",https://www.amazon.ae/dp/B085N5NHH1,https://www.amazon.ae/product-reviews/B085N5NHH1?sortBy=recent&pageNumber=1,22-04-2021,5,"It’s good. It looks just like the picture. The material is good but not wow. A bit rough. Another downside is it doesn’t come with a diaper changer mat. It didn’t mention that it would, but it would be great value if it comes with it. Other than those two point, I would recommend.","It’s good. It looks just like the picture. The material is good but not wow. A bit rough. Another downside is it doesn’t come with a diaper changer mat. It didn’t mention that it would, but it would be great value if it comes with it. Other than those two point, I would recommend.",en,0.999995534,281,diaper changer mat
10,0c5c1a68672b8ed239abdbe770f0e8ba,noon.com,So Cute Full Body Volume Length And Curl Mascara Black,https://www.noon.com/uae-en/product/N20397289A/p,https://www.noon.com/uae-en/product/N20397289A/p,22-04-2021,3,tiny bottle versus expectations,tiny bottle versus expectations,en,0.999995382,31,tiny bottle versus
11,0adf39be6bd0538a6ccb80bb0f2dd9a8,amazon.ae,"THE ORDINARY Hyaluronic Acid 2% + B5 Hydrator, 30 ml",https://www.amazon.ae/dp/B01MYEZPC8,https://www.amazon.ae/product-reviews/B01MYEZPC8?sortBy=recent&pageNumber=1,21-03-2021,3,I really wanted to like this product but i felt it didn’t do anything to my skin so most probably will not buy again.,I really wanted to like this product but i felt it didn’t do anything to my skin so most probably will not buy again.,en,0.999993774,117,skin probably buy
12,fca76733fb0770603bfbf2df9fa065a8,noon.com,Rechargeable Hair Trimmer Gold/Black,https://www.noon.com/uae-en/product/N30116786A/p,https://www.noon.com/uae-en/product/N30116786A/p,22-04-2021,4,Very good but very long chatging time,Very good but very long chatging time,en,0.999997214,37,good long chatging
15,d9d0a634c6503da2a8046a1097831744,noon.com,"Barber Pro Range Shaving Gel, 200ml",https://www.noon.com/uae-en/product/N41306986A/p,https://www.noon.com/uae-en/product/N41306986A/p,24-03-2021,5,This shaving get is very smooth on my skin. It does not gives me dry skin patch. I don't feel razor burn after the shave. I feel really fresh after shave.,This shaving get is very smooth on my skin. It does not gives me dry skin patch. I don't feel razor burn after the shave. I feel really fresh after shave.,en,0.999997787,154,burn shave feel
16,b7e55f78d1d878f6607e7bf0573e5a99,noon.com,Ultrasonic Nano Spray Facial Steamer White 20ml,https://www.noon.com/uae-en/product/N27045645A/p,https://www.noon.com/uae-en/product/N27045645A/p,22-04-2021,5,Overall satisfied custumer.,Overall satisfied custumer.,en,0.999995866,27,overall satisfied custumer
18,de53e0cda795aca2893fa83a3e773d13,amazon.ae,"Xiaomi 2019 Newest Global Intelligent Body Fat Scale 2 XMTZC05HM, MIJIA My Fit APP Body Composition Monitor with Hidden LED Display Big Feet Pad",https://www.amazon.ae/dp/B07W4DTRTM,https://www.amazon.ae/product-reviews/B07W4DTRTM?sortBy=recent&pageNumber=1,03-02-2021,5,So Smart and very good price,So Smart and very good price,en,0.999997476,28,smart good price
21,b9c6acede4662f019e5677b30a5d211c,noon.com,Hair Growth Essential Oil 30ml,https://www.noon.com/uae-en/product/N19786029A/p,https://www.noon.com/uae-en/product/N19786029A/p,27-02-2021,5,as for now were trying... if it is effective or not....,as for now were trying... if it is effective or not....,en,0.999999084,55,trying effective
22,ed107214104fbad2bdae3fe861b82b70,amazon.ae,"Innoo Tech Essential Oils Set 8 x 10ml 100% Pure Oils Gift Set for Women and Men Lavender, Tea Tree, Eucalyptus, Frankincense, Lemongrass, Rosemary, Sweet Orange, Peppermint Aromatherapy Oil",https://www.amazon.ae/dp/B07R9Z7MVW,https://www.amazon.ae/product-reviews/B07R9Z7MVW?sortBy=recent&pageNumber=3,01-04-2021,5,"Absolutely love this order, I used some in my diffuser, some for my skin and some for my hair. I use it during the night in my diffuser to help me sleep. The packaging is good and the scent is excellent.","Absolutely love this order, I used some in my diffuser, some for my skin and some for my hair. I use it during the night in my diffuser to help me sleep. The packaging is good and the scent is excellent.",en,0.999994888,203,packaging good scent
23,ca85b450916174a0644fddea78eb9875,amazon.ae,"Playgro Teething And Grip Ring Trio, Multicoloured",https://www.amazon.ae/dp/B00W9QH72W,https://www.amazon.ae/product-reviews/B00W9QH72W?sortBy=recent&pageNumber=1,11-01-2021,1,Don’t buy it’s not for chewing very hard on baby mouth It’s for poppy not for human baby,Don’t buy it’s not for chewing very hard on baby mouth It’s for poppy not for human baby,en,0.999996439,88,chewing hard baby
26,917942a0d072b49805f1abf6d8b862ef,noon.com,Keratin Silkiness Shine Hair Serum 100ml,https://www.noon.com/uae-en/product/N13771443A/p,https://www.noon.com/uae-en/product/N13771443A/p,11-03-2021,5,def would recommend people w frizzy hair to use non greasy smells good and works well as a hair protectant,def would recommend people w frizzy hair to use non greasy smells good and works well as a hair protectant,en,0.999996623,106,frizzy hair use
